,carat,cut,color,clarity,depth,table,price,x,y,z
49957,0.3,Very Good,H,SI1,63.4,57,540,4.31,4.27,2.72
24480,1.1,Ideal,E,VVS1,61.1,56,12748,6.69,6.73,4.1
20188,1.12,Premium,D,VS1,62.1,57,8633,6.68,6.65,4.14
23322,1.03,Ideal,F,IF,61.3,56,11365,6.53,6.55,4.01
32704,0.31,Ideal,F,VS2,62.1,53,802,4.39,4.34,2.71
6751,1,Good,F,SI2,65.7,62,4102,6.15,6.21,4.06
28169,0.32,Ideal,G,VS1,61.6,55,665,4.43,4.46,2.74
46607,0.54,Premium,D,SI1,62.1,58,1786,5.23,5.21,3.24
52941,0.7,Premium,E,SI1,61.7,62,2592,5.68,5.64,3.49
28026,0.3,Ideal,E,VS2,62.4,57,658,4.29,4.33,2.69
29802,0.3,Premium,D,SI1,62.2,58,709,4.31,4.28,2.67
14307,0.91,Ideal,G,VS1,62.1,57,5795,6.17,6.2,3.84
51782,0.6,Ideal,G,VVS2,61.6,55,2413,5.44,5.47,3.36
30208,0.34,Ideal,E,SI1,60.4,57,723,4.53,4.55,2.74
53601,0.91,Premium,I,SI1,58.4,55,2700,6.34,6.32,3.7
37971,0.41,Very Good,F,VS1,61.2,57,1007,4.77,4.8,2.93
20630,1,Premium,F,VVS2,60.6,54,8924,6.56,6.52,3.96
38198,0.41,Premium,D,SI1,60.5,60,1015,4.81,4.77,2.9
23464,1.31,Ideal,G,VVS2,59.2,59,11459,7.12,7.18,4.23
14072,1.04,Good,D,SI1,63.7,58,5708,6.43,6.39,4.08
3198,0.91,Good,G,SI1,64.3,60,3344,6.04,6.12,3.91
5470,0.91,Fair,F,VS2,66.8,58,3837,5.95,5.97,3.98
51936,0.72,Ideal,F,SI1,61.8,57,2440,5.68,5.74,3.53
11839,1.2,Premium,I,SI1,61.4,57,5098,6.87,6.8,4.2
35322,0.31,Very Good,F,VVS1,61.8,59,897,4.33,4.35,2.68
23788,1.09,Ideal,F,IF,61.4,55,11846,6.61,6.68,4.09
11401,1.19,Ideal,I,SI1,62.3,57,4998,6.78,6.73,4.21
12054,0.34,Premium,G,VS2,61.6,58,596,4.45,4.51,2.76
44295,0.52,Premium,G,VS2,61.7,58,1577,5.16,5.14,3.18
48245,0.56,Good,E,VS1,59.8,61,1951,5.35,5.36,3.2
27642,2.01,Good,H,VS2,57.8,60,18561,8.29,8.35,4.81
18532,1.51,Premium,J,VS2,62.8,59,7553,7.28,7.2,4.55
8645,1.06,Ideal,H,SI2,62.8,57,4452,6.57,6.49,4.1
6758,0.9,Very Good,F,SI1,63.1,56,4103,6.17,6.12,3.88
21737,2.04,Fair,I,SI2,66.6,56,9802,7.8,7.77,5.19
12661,1.02,Very Good,F,SI1,62.8,55,5301,6.4,6.43,4.03
32841,0.29,Premium,E,VVS1,60.9,61,807,4.27,4.23,2.59
38112,0.36,Ideal,E,VS2,62.8,56,1013,4.54,4.51,2.84
19075,1.54,Ideal,I,VS2,60.7,56,7848,7.51,7.46,4.54
25524,1.51,Very Good,E,VS2,60.8,60,14338,7.3,7.36,4.46
15426,1.04,Ideal,G,VS2,62.6,55,6177,6.45,6.49,4.05
26029,0.32,Very Good,G,VS1,61.3,62,645,4.39,4.42,2.7
53825,0.7,Very Good,F,VS2,61.6,60,2737,5.59,5.65,3.46
33147,0.31,Ideal,G,VVS1,61.6,56,816,4.35,4.39,2.69
13605,1.2,Very Good,H,SI1,62.8,58,5567,6.73,6.8,4.25
26677,0.27,Ideal,G,SI1,62.2,54,426,4.13,4.17,2.58
7283,1,Premium,E,SI2,62.8,59,4200,6.34,6.3,3.97
15548,1.04,Very Good,G,VS2,63.4,55,6232,6.48,6.42,4.09
22508,1.15,Ideal,D,VS2,61,57,10546,6.76,6.78,4.13
11120,1.05,Good,H,SI1,63.2,56,4937,6.47,6.51,4.1
17572,1.06,Ideal,F,VS2,61,57,7075,6.57,6.6,4.02
21315,1.61,Good,G,VS2,63.8,58,9467,7.43,7.36,4.72
25623,1.04,Ideal,D,IF,61.8,57,14494,6.49,6.52,4.02
4762,0.9,Fair,D,SI1,64.8,59,3689,6.1,6.03,3.93
18555,1.02,Ideal,D,SI1,61.7,56,7564,6.4,6.49,3.97
35166,0.43,Ideal,H,SI1,60.7,54,891,4.96,4.92,3
35281,0.35,Premium,I,SI1,62.5,58,472,4.49,4.53,2.82
20815,1.55,Premium,H,VS1,58.4,61,9041,7.64,7.59,4.45
10604,1.17,Very Good,I,SI1,62.6,58,4826,6.64,6.71,4.18
42797,0.63,Premium,F,SI2,60.3,61,1351,5.55,5.5,3.33
52032,0.72,Ideal,G,SI2,60.8,57,2449,5.79,5.82,3.52
19444,1.06,Ideal,G,VS1,61.7,57,8093,6.52,6.57,4.04
31808,0.31,Ideal,D,VS1,61.9,53,774,4.36,4.4,2.71
33547,0.35,Ideal,D,VS2,62.4,55,829,4.48,4.52,2.81
44372,0.43,Ideal,F,IF,61.5,56,1580,4.89,4.86,3
44518,0.54,Premium,H,VS1,62.6,59,1600,5.19,5.22,3.26
50909,0.7,Fair,E,SI1,65.2,58,2318,5.57,5.54,3.62
43102,0.57,Very Good,E,SI2,58.8,57.3,1384,5.42,5.46,3.21
35723,0.3,Ideal,D,VS2,61.8,55,911,4.34,4.3,2.67
1104,0.71,Very Good,D,SI1,61.7,56,2913,5.68,5.8,3.54
47201,0.5,Very Good,G,VVS2,60.9,61,1838,5.11,5.13,3.12
42366,0.35,Ideal,D,VVS1,61,55,1303,4.62,4.59,2.81
40741,0.54,Good,E,SI2,63.8,54,1163,5.17,5.18,3.3
38319,0.52,Ideal,I,SI1,62,54,1019,5.17,5.19,3.21
46717,0.61,Good,E,SI1,61.3,61,1793,5.4,5.44,3.32
4533,0.91,Premium,E,SI2,62.8,61,3639,6.09,6.07,3.82
2836,0.78,Ideal,G,SI1,62.2,55,3267,5.87,5.9,3.66
11099,1,Premium,H,VS2,60.7,60,4930,6.55,6.49,3.96
11489,1.02,Ideal,G,SI1,62.4,55,5016,6.43,6.48,4.03
37847,0.33,Ideal,D,VS2,62.6,56,1002,4.43,4.39,2.76
44875,0.52,Ideal,F,VS2,62.5,56,1629,5.12,5.16,3.21
50920,0.72,Premium,G,SI1,60.8,58,2318,5.8,5.74,3.51
12584,1.07,Ideal,H,SI1,61,56,5281,6.6,6.68,4.05
21845,1.2,Very Good,E,VS1,59.4,56,9904,6.94,7,4.14
47129,0.61,Very Good,E,SI1,62.1,55,1829,5.43,5.46,3.38
44360,0.56,Ideal,E,SI1,62.3,56,1580,5.26,5.3,3.29
31944,0.3,Ideal,F,VS2,60.7,57,776,4.34,4.29,2.62
38361,0.33,Ideal,F,VVS1,61.9,55,1021,4.44,4.42,2.74
37596,0.23,Very Good,E,VVS2,63.8,57,485,3.88,3.9,2.48
3902,0.9,Good,G,SI2,62.7,59,3489,6.04,6.12,3.81
3409,0.3,Ideal,F,VS2,60.3,57,568,4.34,4.39,2.63
37117,0.43,Good,E,VS1,59.9,61,970,4.89,4.93,2.94
53686,0.74,Very Good,F,SI1,62.7,58,2715,5.71,5.78,3.6
29601,0.35,Very Good,H,VVS2,63,55,706,4.48,4.5,2.83
1428,0.9,Very Good,H,SI2,63.1,60,2972,6.14,6.09,3.86
27678,1.28,Ideal,E,IF,60.7,57,18700,7.09,6.99,4.27
9909,1.02,Very Good,H,SI1,63.5,58,4688,6.39,6.36,4.05
7275,1,Very Good,H,SI2,63.3,57,4200,6.37,6.3,4.01
25334,1.2,Ideal,D,VVS2,62.7,54,14033,6.8,6.82,4.27
14301,1.03,Premium,G,SI1,59.5,60,5791,6.6,6.54,3.91
10484,0.9,Ideal,F,SI1,61.8,58,4795,6.21,6.24,3.85
32444,0.43,Premium,F,SI1,61.3,60,792,4.83,4.86,2.97
39819,0.3,Premium,E,IF,61,59,1097,4.33,4.29,2.63
28533,0.33,Ideal,I,IF,61.7,55,675,4.45,4.49,2.76
37904,0.41,Premium,F,VS1,62.7,58,1007,4.74,4.77,2.98
1118,0.74,Premium,F,VS1,62.5,60,2917,5.78,5.74,3.6
7998,1.01,Premium,G,SI2,62.7,58,4327,6.44,6.38,4.02
45171,0.5,Premium,E,VS2,58.6,60,1654,5.21,5.16,3.04
35836,0.42,Very Good,G,SI1,61.7,55,916,4.78,4.81,2.96
18448,1.34,Ideal,F,VS2,62.5,56,7504,7.09,7.05,4.42
1681,0.8,Ideal,H,VS2,62.1,54,3030,5.96,5.99,3.71
24353,2.01,Very Good,H,SI2,63.4,58,12617,8.01,7.94,5.06
27629,2.14,Ideal,H,SI1,61.5,57,18528,8.36,8.29,5.12
45930,0.53,Ideal,G,VS1,61.9,56,1721,5.17,5.2,3.21
23187,1.5,Premium,H,VS2,62.4,59,11194,7.32,7.29,4.56
46591,0.54,Premium,H,VVS2,60.6,60,1786,5.31,5.29,3.21
45324,0.3,Very Good,F,VS2,61.4,55,524,4.32,4.37,2.67
27740,2.8,Good,G,SI2,63.8,58,18788,8.9,8.85,0
37213,0.34,Ideal,G,IF,62.2,53,974,4.49,4.52,2.8
11440,1.15,Good,H,SI1,60.2,61,5005,6.74,6.84,4.09
48951,0.57,Premium,D,VS2,61.7,60,2047,5.32,5.28,3.27
14071,1.04,Premium,D,SI1,61.5,58,5708,6.53,6.48,4
35113,0.3,Ideal,F,IF,62,56,886,4.31,4.33,2.68
30722,0.41,Very Good,D,VS2,62.1,56,738,4.76,4.77,2.96
46789,0.5,Good,E,VS1,58.2,61,1806,5.19,5.22,3.03
14021,1,Good,G,VS2,63.1,61,5702,6.33,6.38,4.01
7692,1.1,Very Good,H,SI1,62.1,58,4276,6.59,6.61,4.1
24821,1.52,Premium,G,VS1,61.5,58,13207,7.39,7.31,4.52
36033,0.41,Premium,G,SI1,60.3,59,923,4.79,4.76,2.88
19730,1.52,Premium,I,SI1,61.2,60,8299,7.41,7.36,4.52
8001,1.01,Ideal,G,SI2,59.6,57,4327,6.59,6.54,3.91
24951,2,Premium,G,SI2,62.9,58,13420,7.98,7.92,5
3651,0.91,Very Good,E,SI2,60,60,3438,6.23,6.28,3.75
7190,1.01,Very Good,F,SI2,62.4,58,4187,6.37,6.42,3.99
26686,0.32,Ideal,E,SI2,61,56,427,4.42,4.44,2.7
26753,2.21,Ideal,D,SI2,62,57,16558,8.36,8.31,5.18
44791,0.5,Very Good,E,VS2,61.4,59,1624,5.09,5.13,3.14
39886,0.42,Premium,G,VVS2,60.4,59,1103,4.82,4.78,2.9
14381,0.3,Premium,F,VS2,61.4,60,605,4.27,4.3,2.63
38866,0.4,Premium,F,VS1,61.5,59,1050,4.76,4.71,2.91
50286,0.31,Ideal,D,SI1,62.3,55,541,4.33,4.34,2.7
12430,1.03,Ideal,G,SI1,61.7,56,5241,6.5,6.47,4
40725,0.53,Very Good,G,SI1,63.4,54,1161,5.09,5.13,3.24
1083,0.7,Premium,D,VS2,61,60,2909,5.75,5.7,3.49
36513,0.33,Ideal,E,VVS1,61.9,54,945,4.45,4.47,2.76
7818,1,Very Good,D,SI2,63.5,59,4295,6.35,6.32,4.02
45249,0.43,Ideal,D,VVS1,62.3,56,1659,4.82,4.81,3
39044,0.4,Premium,E,VVS2,61.4,56,1056,4.81,4.74,2.93
5506,0.83,Ideal,H,VVS1,63.4,56,3846,5.96,5.99,3.79
40706,0.58,Ideal,I,SI2,61.3,56,1158,5.38,5.45,3.32
20207,1.28,Very Good,H,VS1,61.2,55,8645,6.98,7.04,4.29
53170,0.71,Premium,E,SI1,61.1,57,2629,5.73,5.69,3.49
19597,1.73,Good,E,I1,63.6,59,8220,7.56,7.6,4.82
53338,0.74,Premium,D,SI1,60.6,60,2655,5.88,5.84,3.55
4219,0.9,Very Good,F,SI2,62.7,59,3569,6.1,6.18,3.85
19317,1.01,Ideal,G,VVS2,61.1,57,8029,6.49,6.54,3.98
28197,0.4,Very Good,E,SI2,62.9,58,666,4.7,4.74,2.97
25914,2.07,Premium,I,SI2,60.5,60,15055,8.32,8.27,5.02
33805,0.32,Very Good,G,VVS1,58.1,59,842,4.49,4.53,2.62
34489,0.43,Premium,G,VS2,61.3,58,867,4.83,4.86,2.97
3191,0.9,Fair,E,SI2,64.5,57,3342,6.13,6.09,3.94
48903,0.51,Very Good,F,VVS2,62,55,2041,5.11,5.14,3.17
48298,0.75,Premium,J,SI1,61.7,56,1958,5.92,5.81,3.62
50749,0.74,Very Good,F,SI2,59.6,60,2298,5.85,6,3.53
11387,0.34,Premium,G,VS2,60.3,59,596,4.49,4.53,2.72
53446,0.72,Ideal,F,SI2,61.9,54,2674,5.83,5.73,3.57
36308,0.32,Ideal,H,VVS1,62.1,54,936,4.42,4.4,2.74
10437,1.2,Very Good,I,SI1,61.7,56,4785,6.82,6.76,4.19
1295,0.7,Good,E,VS1,61,61,2952,5.69,5.72,3.48
15708,0.24,Very Good,E,VVS2,62.4,54,608,3.96,3.99,2.48
1787,0.76,Ideal,H,SI1,61.3,55,3050,5.87,5.93,3.62
38031,0.38,Ideal,F,VVS2,62.1,54.6,1010,4.65,4.69,2.9
7550,1.01,Premium,G,SI2,62.5,60,4249,6.34,6.39,3.98
10014,1.01,Premium,H,SI1,62.6,61,4707,6.39,6.36,3.99
40169,0.38,Very Good,D,VS2,63.4,55,1117,4.67,4.63,2.95
51776,0.74,Ideal,F,SI2,61.6,55,2410,5.81,5.87,3.6
6057,0.32,Ideal,I,VS2,61.6,56,576,4.39,4.37,2.7
28704,0.41,Very Good,F,SI1,63.6,57,680,4.72,4.75,3.01
40880,0.33,Ideal,D,VVS1,61,55,1176,4.52,4.47,2.74
20814,1.08,Ideal,H,VVS1,61.8,57,9041,6.55,6.59,4.06
41699,0.45,Good,E,VS1,61.7,63,1241,4.88,4.91,3.02
5708,0.25,Very Good,F,VVS2,59,58,575,4.1,4.14,2.43
29694,0.31,Premium,G,VVS2,62.2,59,707,4.32,4.36,2.7
44452,0.56,Ideal,G,SI1,62.3,53,1591,5.31,5.28,3.3
26011,0.35,Ideal,D,SI1,62.3,55,644,4.52,4.56,2.83
10822,1.01,Ideal,G,SI1,60.7,58,4868,6.55,6.52,3.97
39285,0.3,Ideal,H,VS2,62.1,57,491,4.27,4.3,2.66
31218,0.32,Very Good,D,SI1,63.1,57,756,4.38,4.37,2.76
21316,1.53,Ideal,G,SI2,62.3,56,9468,7.39,7.34,4.59
29217,0.38,Ideal,G,SI1,60.6,57,695,4.71,4.76,2.87
36540,0.4,Premium,F,SI1,62.3,60,945,4.74,4.7,2.94
8122,1.18,Very Good,J,SI2,62.2,58,4353,6.74,6.79,4.21
8227,1,Ideal,F,SI2,61.3,56,4372,6.43,6.46,3.95
14240,1.09,Ideal,F,SI1,62,56,5768,6.61,6.56,4.08
21747,1.5,Very Good,F,SI2,62.9,55,9817,7.26,7.28,4.57
2044,0.32,Premium,G,VS2,61,59,561,4.42,4.46,2.71
26947,2.05,Ideal,H,SI1,61.9,57,17006,8.09,8.14,5.02
9026,1,Very Good,I,VS1,63.3,55,4516,6.39,6.34,4.03
32717,0.31,Premium,F,VS2,61.4,62,802,4.34,4.32,2.66
19045,0.33,Very Good,G,VS1,61.6,57,621,4.42,4.51,2.75
47637,0.51,Premium,D,VS2,60.5,60,1882,5.19,5.16,3.13
18976,1.21,Ideal,H,VS1,62.4,53,7811,6.83,6.86,4.27
24700,0.3,Very Good,H,VVS1,61.1,61,638,4.27,4.3,2.62
1139,0.71,Very Good,D,SI1,60.1,60,2921,5.76,5.79,3.47
44995,0.31,Premium,I,SI1,61.5,59,523,4.37,4.35,2.68
10123,1.01,Very Good,G,SI1,60.2,58,4719,6.5,6.59,3.94
1215,0.83,Very Good,F,SI2,61.9,56,2939,5.99,6.02,3.72
49622,0.32,Very Good,F,SI2,63.1,56,540,4.38,4.34,2.75
33976,0.3,Premium,F,IF,61.6,58,846,4.3,4.34,2.66
51376,0.7,Very Good,I,VVS2,63,58,2367,5.64,5.69,3.57
43187,0.58,Ideal,E,SI2,61.4,57.1,1392,5.36,5.38,3.3
7995,0.92,Very Good,D,SI2,61.6,58,4327,6.19,6.22,3.82
31313,0.32,Ideal,D,VS2,62.2,55,758,4.37,4.41,2.73
36193,0.4,Ideal,G,VVS2,62.6,57,931,4.68,4.75,2.95
15931,1,Good,G,VS2,59.1,62,6369,6.42,6.45,3.8
26285,2.01,Premium,H,SI2,62.3,58,15773,8.06,8.11,5.04
9893,1.08,Very Good,G,SI2,62.8,56,4685,6.48,6.6,4.11
24663,2.15,Ideal,I,SI1,60.9,56,13006,8.38,8.33,5.09
39763,0.36,Premium,D,VS2,60.5,58,1094,4.63,4.6,2.79
18260,1.55,Ideal,J,VS2,61.7,57,7416,7.37,7.42,4.56
953,0.74,Ideal,F,SI1,61.2,56,2889,5.83,5.87,3.58
19106,1.13,Premium,G,VVS2,61.4,58,7875,6.68,6.73,4.12
39012,0.43,Ideal,I,IF,62,55,1056,4.83,4.85,3
7020,1.1,Ideal,I,SI2,62.8,57,4158,6.63,6.56,4.14
23413,1.12,Ideal,F,VVS1,61,56,11403,6.71,6.74,4.1
45090,0.6,Ideal,F,SI1,61.5,58,1646,5.38,5.41,3.32
15379,0.35,Good,I,SI1,63.6,56,606,4.53,4.5,2.87
48300,0.51,Very Good,D,VS1,62.2,59,1959,5.1,5.13,3.18
37491,0.35,Ideal,E,VS2,61.6,56,984,4.54,4.52,2.79
12836,1.2,Very Good,I,SI1,63.8,57,5352,6.64,6.72,4.26
38153,0.75,Good,F,I1,64,59,1013,5.78,5.62,3.66
44513,0.54,Good,E,SI1,61.5,56,1600,5.22,5.26,3.23
38983,0.39,Ideal,F,VS2,60,57,1053,4.76,4.7,2.84
49673,0.7,Good,I,SI1,64.3,57,2142,5.63,5.59,3.61
25001,1.29,Ideal,E,VVS2,59.8,59,13530,7.07,7.11,4.24
36328,0.32,Premium,G,VVS2,60.9,61,936,4.41,4.39,2.68
42761,0.5,Very Good,F,VS2,63.4,57,1345,5.01,4.96,3.16
8394,0.34,Ideal,D,SI1,62,55,584,4.5,4.53,2.8
31001,0.35,Ideal,E,VS1,62.3,57,747,4.51,4.55,2.82
19119,1,Ideal,G,VVS2,59.8,54,7885,6.58,6.54,3.92
14283,1.24,Very Good,J,VS1,62.4,59.4,5783,6.81,6.89,4.27
38529,0.34,Ideal,E,VS1,61.2,57,1033,4.5,4.45,2.74
2011,0.66,Ideal,D,VVS2,61.6,57,3103,5.57,5.64,3.45
19266,1.51,Very Good,J,VS1,63.5,60,7991,7.29,7.23,4.61
37165,0.32,Ideal,D,VS2,61.9,55,972,4.43,4.39,2.73
44961,0.58,Premium,I,VVS1,62.6,59,1636,5.27,5.31,3.31
42806,0.59,Ideal,J,VS2,60.8,57,1352,5.47,5.42,3.31
10388,0.3,Fair,F,VS1,61.7,66,593,4.25,4.31,2.64
42385,0.46,Ideal,G,VVS2,62.4,54.4,1306,4.93,4.98,3.09
6554,1.01,Premium,I,SI1,58.6,62,4072,6.51,6.45,3.8
14724,0.3,Very Good,G,VS1,61.4,58,605,4.32,4.35,2.66
10595,1.02,Ideal,E,SI2,61.6,55,4824,6.46,6.52,4
52571,0.7,Ideal,H,VS2,63,55,2536,5.7,5.67,3.58
20184,1.52,Premium,I,SI1,61.9,58,8631,7.42,7.37,4.58
41721,0.41,Ideal,E,VVS2,61.6,56,1243,4.8,4.78,2.95
11859,1.05,Ideal,D,SI1,60,55,5104,6.66,6.61,3.98
5662,0.9,Good,H,VS2,63.6,58,3881,6.11,6.09,3.88
3838,0.9,Very Good,D,SI2,60.3,63,3473,6.22,6.12,3.72
26490,1.7,Very Good,G,VS2,61.6,58,16086,7.63,7.67,4.71
18026,1.5,Premium,H,SI2,62.3,59,7291,7.27,7.21,4.52
2525,0.7,Premium,F,VVS1,63,60,3204,5.62,5.59,3.53
4551,0.91,Ideal,F,SI2,62.7,57,3642,6.16,6.21,3.88
27564,2.32,Very Good,I,SI1,63.2,59,18371,8.55,8.44,5.37
36172,0.32,Ideal,F,IF,61.9,54,929,4.43,4.46,2.75
31096,0.36,Very Good,H,VVS1,62,55,753,4.57,4.6,2.84
19823,1.51,Premium,H,SI2,62.4,58,8388,7.36,7.31,4.58
14148,1.25,Premium,I,SI1,62.4,58,5740,6.89,6.85,4.29
